Date,Sales
2021-12-08,360.64
2021-12-09,362.84
2021-12-10,327.4
2021-12-11,331.36
2021-12-12,368.69
2021-12-13,286.87
2021-12-14,291.09
2021-12-15,327.74
2021-12-16,355.2
2021-12-17,383.63
2021-12-18,444.08
2021-12-19,415.43
2021-12-20,366.78
2021-12-21,376.07
2021-12-22,329.14
2021-12-23,380.59
2021-12-24,369.34
2021-12-25,402.17
2021-12-26,346.93
2021-12-27,416.53
2021-12-28,469.46
2021-12-29,389.66
2021-12-30,417.45
2021-12-31,434.14
2022-01-01,381.84
2022-01-02,415.38
2022-01-03,407.07
2022-01-04,413.59
2022-01-05,372.32
2022-01-06,414.46
2022-01-07,440.39
2022-01-08,490.31
2022-01-09,467.96
2022-01-10,
2022-01-11,386.12
2022-01-12,470.34
2022-01-13,438.12
2022-01-14,540.67
2022-01-15,392.98
2022-01-16,393.62
2022-01-17,407.84
2022-01-18,333.8
2022-01-19,
2022-01-20,406.4
2022-01-21,454.04
2022-01-22,465.76
2022-01-23,544.62
2022-01-24,500.47
2022-01-25,426.22
2022-01-26,412.25
2022-01-27,483.86
2022-01-28,395.33
2022-01-29,554.99
2022-01-30,524.44
2022-01-31,444.04
2022-02-01,383.87
2022-02-02,539.23
2022-02-03,467.8
2022-02-04,537.39
2022-02-05,397.74
2022-02-06,449.43
2022-02-07,481.59
2022-02-08,485.58
2022-02-09,462.61
2022-02-10,518.13
2022-02-11,435.45
2022-02-12,483.54
2022-02-13,498.49
2022-02-14,519.98
2022-02-15,531.61
2022-02-16,441.54
2022-02-17,422.8
2022-02-18,565.09
2022-02-19,519.5
2022-02-20,467.12
2022-02-21,583.74
2022-02-22,513.58
2022-02-23,568.35
2022-02-24,514.33
2022-02-25,615.53
2022-02-26,601.78
2022-02-27,503.06
2022-02-28,565.55
2022-03-01,550.69
2022-03-02,588.27
2022-03-03,
2022-03-04,556.9
2022-03-05,576.85
2022-03-06,437.31
2022-03-07,467.37
2022-03-08,425.83
2022-03-09,515.56
2022-03-10,566.11
2022-03-11,606.53
2022-03-12,536.26
2022-03-13,615.11
2022-03-14,465.77
2022-03-15,450.67
2022-03-16,534.1
2022-03-17,557.09
2022-03-18,537.24
2022-03-19,436.45
2022-03-20,536.29
2022-03-21,476.42
2022-03-22,575.99
2022-03-23,561.67
2022-03-24,497.15
2022-03-25,519.23
2022-03-26,492.71
2022-03-27,543.26
2022-03-28,594.84
2022-03-29,498.45
2022-03-30,573.57
2022-03-31,522.46
2022-04-01,509.9
2022-04-02,544.73
2022-04-03,498.83
2022-04-04,523.39
2022-04-05,491.63
2022-04-06,650.19
2022-04-07,554.11
2022-04-08,517.72
2022-04-09,563.74
2022-04-10,547.73
2022-04-11,542.57
2022-04-12,584.58
2022-04-13,591.96
2022-04-14,527.75
2022-04-15,525.64
2022-04-16,540.81
2022-04-17,439.57
2022-04-18,478.98
2022-04-19,623.13
2022-04-20,637.05
2022-04-21,542.34
2022-04-22,583.58
2022-04-23,570.24
2022-04-24,708.53
2022-04-25,610.44
2022-04-26,547.92
2022-04-27,506.36
2022-04-28,473.61
2022-04-29,563.88
2022-04-30,515.63
2022-05-01,482.05
2022-05-02,520.53
2022-05-03,498.45
2022-05-04,636.52
2022-05-05,
2022-05-06,550.98
2022-05-07,624.94
2022-05-08,554.35
2022-05-09,506.94
2022-05-10,
2022-05-11,575.91
2022-05-12,496.56
2022-05-13,538.33
2022-05-14,503.47
2022-05-15,477.49
2022-05-16,592.3
2022-05-17,640.8
2022-05-18,474.72
2022-05-19,572.09
2022-05-20,510.69
2022-05-21,518.12
2022-05-22,512.1
2022-05-23,497.74
2022-05-24,542.57
2022-05-25,497.77
2022-05-26,552.01
2022-05-27,535.12
2022-05-28,524.82
2022-05-29,490.5
2022-05-30,506.14
2022-05-31,571.83
2022-06-01,-558.17
2022-06-02,483.3
2022-06-03,536.18
2022-06-04,567.8
2022-06-05,445.77
2022-06-06,555.41
2022-06-07,494.09
2022-06-08,554.73
2022-06-09,486.99
2022-06-10,433.86
2022-06-11,441.67
2022-06-12,524.38
2022-06-13,533.88
2022-06-14,474.58
2022-06-15,550.63
2022-06-16,434.52
2022-06-17,513.17
2022-06-18,454.8
2022-06-19,481.63
2022-06-20,515.46
2022-06-21,468.92
2022-06-22,491.57
2022-06-23,559.96
2022-06-24,479.64
2022-06-25,549.11
2022-06-26,449.68
2022-06-27,531.49
2022-06-28,575.91
2022-06-29,379.07
2022-06-30,461.64
2022-07-01,529.17
2022-07-02,488.99
2022-07-03,516.52
2022-07-04,466.6
2022-07-05,499.95
2022-07-06,486.67
2022-07-07,551.68
2022-07-08,504.85
2022-07-09,507.84
2022-07-10,469.21
2022-07-11,464.28
2022-07-12,465.88
2022-07-13,506.09
2022-07-14,464.18
2022-07-15,498.59
2022-07-16,586.75
2022-07-17,525.42
2022-07-18,464.45
2022-07-19,539.71
2022-07-20,458.16
2022-07-21,375.57
2022-07-22,426.0
2022-07-23,381.81
2022-07-24,456.72
2022-07-25,474.18
2022-07-26,556.05
2022-07-27,487.56
2022-07-28,459.25
2022-07-29,510.69
2022-07-30,357.68
2022-07-31,479.06
2022-08-01,504.87
2022-08-02,391.47
2022-08-03,521.66
2022-08-04,480.5
2022-08-05,441.92
2022-08-06,493.46
2022-08-07,574.5
2022-08-08,469.22
2022-08-09,471.72
2022-08-10,435.55
2022-08-11,415.24
2022-08-12,498.49
2022-08-13,413.42
2022-08-14,459.08
2022-08-15,430.92
2022-08-16,478.07
2022-08-17,470.14
2022-08-18,504.7
2022-08-19,426.7
2022-08-20,438.11
2022-08-21,402.1
2022-08-22,428.27
2022-08-23,468.82
2022-08-24,487.3
2022-08-25,402.86
2022-08-26,491.99
2022-08-27,515.86
2022-08-28,468.34
2022-08-29,541.12
2022-08-30,408.24
2022-08-31,384.36
2022-09-01,357.35
2022-09-02,520.8
2022-09-03,478.46
2022-09-04,442.74
2022-09-05,459.31
2022-09-06,388.86
2022-09-07,567.28
2022-09-08,451.33
2022-09-09,450.24
2022-09-10,480.99
2022-09-11,468.71
2022-09-12,455.85
2022-09-13,405.14
2022-09-14,468.29
2022-09-15,538.89
2022-09-16,512.16
2022-09-17,524.68
2022-09-18,419.62
2022-09-19,395.89
2022-09-20,439.29
2022-09-21,448.62
2022-09-22,500.81
2022-09-23,361.79
2022-09-24,523.22
2022-09-25,439.21
2022-09-26,426.16
2022-09-27,397.32
2022-09-28,365.63
2022-09-29,490.02
2022-09-30,453.03
2022-10-01,385.41
2022-10-02,385.73
2022-10-03,434.29
2022-10-04,535.16
2022-10-05,439.39
2022-10-06,377.9
2022-10-07,441.49
2022-10-08,440.89
2022-10-09,320.46
2022-10-10,453.39
2022-10-11,445.4
2022-10-12,492.62
2022-10-13,551.15
2022-10-14,515.96
2022-10-15,447.14
2022-10-16,406.23
2022-10-17,591.24
2022-10-18,466.57
2022-10-19,465.37
2022-10-20,464.56
2022-10-21,476.8
2022-10-22,460.82
2022-10-23,440.54
2022-10-24,443.08
2022-10-25,470.02
2022-10-26,445.75
2022-10-27,438.56
2022-10-28,480.84
2022-10-29,464.11
2022-10-30,553.42
2022-10-31,-347.07
2022-11-01,535.61
2022-11-02,544.78
2022-11-03,380.28
2022-11-04,468.3
2022-11-05,468.38
2022-11-06,418.12
2022-11-07,451.17
2022-11-08,436.13
2022-11-09,580.88
2022-11-10,541.69
2022-11-11,560.14
2022-11-12,534.33
2022-11-13,443.5
2022-11-14,475.45
2022-11-15,527.89
2022-11-16,444.08
2022-11-17,542.63
2022-11-18,496.77
2022-11-19,491.88
2022-11-20,548.02
2022-11-21,536.55
2022-11-22,
2022-11-23,576.1
2022-11-24,
2022-11-25,552.79
2022-11-26,553.61
2022-11-27,510.45
2022-11-28,544.22
2022-11-29,467.37
2022-11-30,578.15
2022-12-01,524.74
2022-12-02,509.9
2022-12-03,590.56
2022-12-04,504.97
2022-12-05,471.86
2022-12-06,466.56
2022-12-07,576.81
2022-12-08,484.62
2022-12-09,638.52
2022-12-10,448.84
2022-12-11,639.92
2022-12-12,567.82
2022-12-13,554.62
2022-12-14,534.4
2022-12-15,583.8
2022-12-16,564.17
2022-12-17,623.44
2022-12-18,576.21
2022-12-19,580.24
2022-12-20,556.78
2022-12-21,574.36
2022-12-22,594.84
2022-12-23,496.19
2022-12-24,516.55
2022-12-25,623.38
2022-12-26,597.02
2022-12-27,581.54
2022-12-28,593.93
2022-12-29,612.66
2022-12-30,570.56
2022-12-31,560.9
2023-01-01,611.88
2023-01-02,555.44
2023-01-03,627.04
2023-01-04,523.76
2023-01-05,662.61
2023-01-06,637.05
2023-01-07,628.48
2023-01-08,667.07
2023-01-09,703.46
2023-01-10,673.15
2023-01-11,532.63
2023-01-12,562.93
2023-01-13,597.9
2023-01-14,632.67
2023-01-15,659.46
2023-01-16,
2023-01-17,647.33
2023-01-18,602.41
2023-01-19,611.79
2023-01-20,574.21
2023-01-21,600.54
2023-01-22,581.27
2023-01-23,602.2
2023-01-24,705.81
2023-01-25,607.78
2023-01-26,788.97
2023-01-27,684.11
2023-01-28,670.77
2023-01-29,620.68
2023-01-30,700.66
2023-01-31,638.9
2023-02-01,675.81
2023-02-02,799.72
2023-02-03,668.9
2023-02-04,733.15
2023-02-05,642.48
2023-02-06,677.83
2023-02-07,770.05
2023-02-08,652.06
2023-02-09,775.92
2023-02-10,722.55
2023-02-11,660.89
2023-02-12,722.47
2023-02-13,741.28
2023-02-14,725.53
2023-02-15,617.7
2023-02-16,661.6
2023-02-17,687.31
2023-02-18,697.67
2023-02-19,734.1
2023-02-20,713.61
2023-02-21,639.6
2023-02-22,726.99
2023-02-23,740.1
2023-02-24,739.13
2023-02-25,766.72
2023-02-26,755.89
2023-02-27,738.65
2023-02-28,713.65
2023-03-01,635.55
2023-03-02,741.5
2023-03-03,731.79
2023-03-04,736.35
2023-03-05,660.28
2023-03-06,671.38
2023-03-07,779.37
2023-03-08,726.0
2023-03-09,763.28
2023-03-10,731.83
2023-03-11,733.08
2023-03-12,779.66
2023-03-13,708.06
2023-03-14,739.77
2023-03-15,712.91
2023-03-16,715.34
2023-03-17,722.61
2023-03-18,750.16
2023-03-19,716.07
2023-03-20,803.72
2023-03-21,697.09
2023-03-22,733.35
2023-03-23,721.54
2023-03-24,816.68
2023-03-25,754.94
2023-03-26,797.45
2023-03-27,672.3
2023-03-28,760.62
2023-03-29,792.41
2023-03-30,752.67
2023-03-31,802.43
2023-04-01,723.86
2023-04-02,820.73
2023-04-03,865.72
2023-04-04,733.12
2023-04-05,729.44
2023-04-06,824.8
2023-04-07,831.51
2023-04-08,726.75
2023-04-09,732.22
2023-04-10,739.44
2023-04-11,686.58
2023-04-12,708.12
2023-04-13,704.06
2023-04-14,716.07
2023-04-15,752.88
2023-04-16,766.46
2023-04-17,
2023-04-18,705.0
2023-04-19,804.18
2023-04-20,744.28
2023-04-21,752.5
2023-04-22,788.67
2023-04-23,698.73
2023-04-24,773.89
2023-04-25,762.97
2023-04-26,779.12
2023-04-27,768.78
2023-04-28,876.88
2023-04-29,722.0
2023-04-30,727.08
2023-05-01,722.19
2023-05-02,725.27
2023-05-03,720.84
2023-05-04,811.8
2023-05-05,822.99
2023-05-06,723.02
2023-05-07,709.51
2023-05-08,774.24
2023-05-09,722.57
2023-05-10,781.33
2023-05-11,759.3
2023-05-12,672.81
2023-05-13,825.4
2023-05-14,837.23
2023-05-15,716.17
2023-05-16,726.79
2023-05-17,759.81
2023-05-18,761.55
2023-05-19,777.06
2023-05-20,843.92
2023-05-21,733.82
2023-05-22,701.99
2023-05-23,672.16
2023-05-24,703.78
2023-05-25,737.85
2023-05-26,828.4
2023-05-27,711.94
2023-05-28,748.14
2023-05-29,735.24
2023-05-30,794.58
2023-05-31,860.59
2023-06-01,706.76
2023-06-02,707.88
2023-06-03,783.6
2023-06-04,764.51
2023-06-05,821.76
2023-06-06,757.62
2023-06-07,709.44
2023-06-08,755.91
2023-06-09,780.77
2023-06-10,765.31
2023-06-11,
2023-06-12,775.49
2023-06-13,779.54
2023-06-14,789.09
2023-06-15,751.32
2023-06-16,709.42
2023-06-17,723.99
2023-06-18,775.86
2023-06-19,673.56
2023-06-20,731.7
2023-06-21,692.46
2023-06-22,712.42
2023-06-23,773.75
2023-06-24,718.23
2023-06-25,709.83
2023-06-26,638.35
2023-06-27,742.49
2023-06-28,736.28
2023-06-29,811.0
2023-06-30,686.28
2023-07-01,711.45
2023-07-02,711.79
2023-07-03,777.02
2023-07-04,692.21
2023-07-05,709.76
2023-07-06,725.03
2023-07-07,702.8
2023-07-08,
2023-07-09,700.85
2023-07-10,743.67
2023-07-11,637.51
2023-07-12,694.34
2023-07-13,651.54
2023-07-14,745.16
2023-07-15,608.12
2023-07-16,655.21
2023-07-17,700.9
2023-07-18,759.21
2023-07-19,676.55
2023-07-20,650.98
2023-07-21,771.72
2023-07-22,604.19
2023-07-23,565.59
2023-07-24,696.48
2023-07-25,648.34
2023-07-26,621.35
2023-07-27,706.81
2023-07-28,682.58
2023-07-29,641.2
2023-07-30,604.41
2023-07-31,711.08
2023-08-01,699.02
2023-08-02,660.62
2023-08-03,756.99
2023-08-04,610.25
2023-08-05,586.59
2023-08-06,627.41
2023-08-07,658.87
2023-08-08,672.48
2023-08-09,647.43
2023-08-10,676.3
2023-08-11,595.34
2023-08-12,729.34
2023-08-13,652.3
2023-08-14,711.55
2023-08-15,672.12
2023-08-16,677.14
2023-08-17,682.13
2023-08-18,675.39
2023-08-19,684.52
2023-08-20,718.25
2023-08-21,661.04
2023-08-22,686.12
2023-08-23,645.65
2023-08-24,721.64
2023-08-25,615.33
2023-08-26,738.74
2023-08-27,646.25
2023-08-28,576.31
2023-08-29,653.87
2023-08-30,613.06
2023-08-31,688.81
2023-09-01,613.84
2023-09-02,623.88
2023-09-03,551.45
2023-09-04,623.08
2023-09-05,524.3
2023-09-06,566.12
2023-09-07,683.19
2023-09-08,684.34
2023-09-09,666.23
2023-09-10,596.54
2023-09-11,642.46
2023-09-12,644.65
2023-09-13,586.93
2023-09-14,720.07
2023-09-15,688.84
2023-09-16,634.02
2023-09-17,646.55
2023-09-18,655.78
2023-09-19,543.46
2023-09-20,633.41
2023-09-21,611.91
2023-09-22,596.21
2023-09-23,632.54
2023-09-24,736.81
2023-09-25,679.33
2023-09-26,619.12
2023-09-27,676.74
2023-09-28,718.53
2023-09-29,695.27
2023-09-30,652.53
2023-10-01,617.75
2023-10-02,685.57
2023-10-03,670.94
2023-10-04,696.65
2023-10-05,684.31
2023-10-06,
2023-10-07,627.2
2023-10-08,720.58
2023-10-09,665.37
2023-10-10,760.06
2023-10-11,622.67
2023-10-12,-744.79
2023-10-13,668.78
2023-10-14,627.24
2023-10-15,636.57
2023-10-16,645.73
2023-10-17,683.96
2023-10-18,689.93
2023-10-19,636.17
2023-10-20,664.73
2023-10-21,774.19
2023-10-22,754.6
2023-10-23,691.22
2023-10-24,672.51
2023-10-25,677.84
2023-10-26,703.78
2023-10-27,623.25
2023-10-28,662.83
2023-10-29,-593.61
2023-10-30,698.37
2023-10-31,712.16
2023-11-01,657.06
2023-11-02,
2023-11-03,622.84
2023-11-04,612.4
2023-11-05,698.36
2023-11-06,741.04
2023-11-07,774.44
2023-11-08,668.89
2023-11-09,747.39
2023-11-10,693.16
2023-11-11,688.12
2023-11-12,742.61
2023-11-13,732.75
2023-11-14,623.04
2023-11-15,777.43
2023-11-16,774.38
2023-11-17,675.88
2023-11-18,728.76
2023-11-19,735.5
2023-11-20,725.68
2023-11-21,687.0
2023-11-22,682.82
2023-11-23,717.03
2023-11-24,778.87
2023-11-25,749.36
2023-11-26,705.6
2023-11-27,764.69
2023-11-28,585.67
2023-11-29,
2023-11-30,645.15
2023-12-01,716.05
2023-12-02,680.24
2023-12-03,673.55
2023-12-04,798.41
2023-12-05,719.08
2023-12-06,761.89
2023-12-07,744.34
2023-12-08,772.67
2023-12-09,754.8
2023-12-10,688.97
2023-12-11,805.09
2023-12-12,732.76
2023-12-13,681.81
2023-12-14,740.42
2023-12-15,839.07
2023-12-16,808.75
2023-12-17,751.02
2023-12-18,753.22
2023-12-19,756.83
2023-12-20,878.98
2023-12-21,796.48
2023-12-22,801.14
2023-12-23,833.4
2023-12-24,796.08
2023-12-25,773.45
2023-12-26,778.84
2023-12-27,787.35
2023-12-28,791.33
2023-12-29,831.84
2023-12-30,800.33
2023-12-31,836.63
